phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
n/a,monolingual,nb,English,English,test,0.6155,0.6206,0.618,0.6159,0.628,0.5939,0.6257,0.4128,4648.0,,,,,,,,,,,,0
n/a,monolingual,nb,English,English,val,0.6642,0.6701,0.6662,0.6648,0.6868,0.6379,0.6697,0.4128,4648.0,,,,,,,,,,,,0
n/a,monolingual,nb,Hausa,Hausa,test,0.5461,0.5497,0.5475,0.5463,0.5652,0.5311,0.5428,0.394,4628.0,,,,,,,,,,,,0
n/a,monolingual,nb,Hausa,Hausa,val,0.5852,0.5926,0.5867,0.5856,0.6066,0.5794,0.5708,0.394,4628.0,,,,,,,,,,,,0
n/a,monolingual,nb,Igbo,Igbo,test,0.577,0.5804,0.5787,0.5774,0.5989,0.5491,0.5843,0.3683,4622.0,,,,,,,,,,,,0
n/a,monolingual,nb,Igbo,Igbo,val,0.5716,0.5739,0.573,0.5721,0.5959,0.533,0.5874,0.3683,4622.0,,,,,,,,,,,,0
n/a,monolingual,nb,Yoruba,Yoruba,test,0.5415,0.5456,0.5438,0.5424,0.5543,0.5027,0.5701,0.4326,4633.0,,,,,,,,,,,,0
n/a,monolingual,nb,Yoruba,Yoruba,val,0.5706,0.5717,0.5717,0.5707,0.5805,0.5588,0.5728,0.4326,4633.0,,,,,,,,,,,,0
n/a,monolingual,rf,English,English,test,0.6727,0.6717,0.6737,0.6722,0.6907,0.6279,0.6979,0.9708,4648.0,,,,,,,,,,,,0
n/a,monolingual,rf,English,English,val,0.6973,0.6955,0.6955,0.6955,0.7558,0.6607,0.6699,0.9708,4648.0,,,,,,,,,,,,0
n/a,monolingual,rf,Hausa,Hausa,test,0.5998,0.5994,0.6003,0.5983,0.6247,0.5558,0.6143,1.0104,4628.0,,,,,,,,,,,,0
n/a,monolingual,rf,Hausa,Hausa,val,0.6169,0.6154,0.6154,0.615,0.6571,0.5781,0.6098,1.0104,4628.0,,,,,,,,,,,,0
n/a,monolingual,rf,Igbo,Igbo,test,0.5823,0.5808,0.5819,0.5807,0.6151,0.5327,0.5943,0.9589,4622.0,,,,,,,,,,,,0
n/a,monolingual,rf,Igbo,Igbo,val,0.6139,0.6126,0.6122,0.6116,0.6545,0.5755,0.6049,0.9589,4622.0,,,,,,,,,,,,0
n/a,monolingual,rf,Yoruba,Yoruba,test,0.5529,0.5523,0.5546,0.5529,0.5646,0.5017,0.5925,1.0275,4633.0,,,,,,,,,,,,0
n/a,monolingual,rf,Yoruba,Yoruba,val,0.6146,0.6145,0.614,0.6137,0.6331,0.6042,0.6039,1.0275,4633.0,,,,,,,,,,,,0
n/a,monolingual,svm,English,English,test,0.6381,0.6364,0.6382,0.637,0.6744,0.5747,0.6619,0.6063,4648.0,,,,,,,,,,,,0
n/a,monolingual,svm,English,English,val,0.6943,0.6911,0.6916,0.6911,0.7603,0.6513,0.6618,0.6063,4648.0,,,,,,,,,,,,0
n/a,monolingual,svm,Hausa,Hausa,test,0.5719,0.5711,0.5716,0.5712,0.5936,0.552,0.568,0.5721,4628.0,,,,,,,,,,,,0
n/a,monolingual,svm,Hausa,Hausa,val,0.5897,0.589,0.5888,0.5888,0.6393,0.5528,0.5742,0.5721,4628.0,,,,,,,,,,,,0
n/a,monolingual,svm,Igbo,Igbo,test,0.5725,0.571,0.5716,0.5709,0.6085,0.5352,0.569,0.5733,4622.0,,,,,,,,,,,,0
