phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
n/a,monolingual,nb,English,English,test,0.6155 ± 0.0000,0.6206 ± 0.0000,0.6180 ± 0.0000,0.6159 ± 0.0000,0.6280 ± 0.0000,0.5939 ± 0.0000,0.6257 ± 0.0000,0.4128 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
n/a,monolingual,nb,English,English,val,0.6642 ± 0.0000,0.6701 ± 0.0000,0.6662 ± 0.0000,0.6648 ± 0.0000,0.6868 ± 0.0000,0.6379 ± 0.0000,0.6697 ± 0.0000,0.4128 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
n/a,monolingual,nb,Hausa,Hausa,test,0.5461 ± 0.0000,0.5497 ± 0.0000,0.5475 ± 0.0000,0.5463 ± 0.0000,0.5652 ± 0.0000,0.5311 ± 0.0000,0.5428 ± 0.0000,0.3940 ± 0.0000,4628.0000 ± 0.0000,,,,,,,,,,,,0
n/a,monolingual,nb,Hausa,Hausa,val,0.5852 ± 0.0000,0.5926 ± 0.0000,0.5867 ± 0.0000,0.5856 ± 0.0000,0.6066 ± 0.0000,0.5794 ± 0.0000,0.5708 ± 0.0000,0.3940 ± 0.0000,4628.0000 ± 0.0000,,,,,,,,,,,,0
n/a,monolingual,nb,Igbo,Igbo,test,0.5770 ± 0.0000,0.5804 ± 0.0000,0.5787 ± 0.0000,0.5774 ± 0.0000,0.5989 ± 0.0000,0.5491 ± 0.0000,0.5843 ± 0.0000,0.3683 ± 0.0000,4622.0000 ± 0.0000,,,,,,,,,,,,0
n/a,monolingual,nb,Igbo,Igbo,val,0.5716 ± 0.0000,0.5739 ± 0.0000,0.5730 ± 0.0000,0.5721 ± 0.0000,0.5959 ± 0.0000,0.5330 ± 0.0000,0.5874 ± 0.0000,0.3683 ± 0.0000,4622.0000 ± 0.0000,,,,,,,,,,,,0
n/a,monolingual,nb,Yoruba,Yoruba,test,0.5415 ± 0.0000,0.5456 ± 0.0000,0.5438 ± 0.0000,0.5424 ± 0.0000,0.5543 ± 0.0000,0.5027 ± 0.0000,0.5701 ± 0.0000,0.4326 ± 0.0000,4633.0000 ± 0.0000,,,,,,,,,,,,0
n/a,monolingual,nb,Yoruba,Yoruba,val,0.5706 ± 0.0000,0.5717 ± 0.0000,0.5717 ± 0.0000,0.5707 ± 0.0000,0.5805 ± 0.0000,0.5588 ± 0.0000,0.5728 ± 0.0000,0.4326 ± 0.0000,4633.0000 ± 0.0000,,,,,,,,,,,,0
n/a,monolingual,rf,English,English,test,0.6727 ± 0.0000,0.6717 ± 0.0000,0.6737 ± 0.0000,0.6722 ± 0.0000,0.6907 ± 0.0000,0.6279 ± 0.0000,0.6979 ± 0.0000,0.9708 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
n/a,monolingual,rf,English,English,val,0.6973 ± 0.0000,0.6955 ± 0.0000,0.6955 ± 0.0000,0.6955 ± 0.0000,0.7558 ± 0.0000,0.6607 ± 0.0000,0.6699 ± 0.0000,0.9708 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
