model,language,overall_err,n_code_switched,err_code_switched,err_not_code_switched,n_artifact,err_artifact,err_not_artifact
joint_mbert,English,0.2844,233,0.2489,0.292,3,0.3333,0.2843
joint_mbert,Yoruba,0.4343,72,0.4861,0.4313,63,0.5238,0.4298
joint_mbert,Igbo,0.4033,74,0.3649,0.4056,28,0.6429,0.3981
joint_mbert,Hausa,0.4054,83,0.4096,0.4052,20,0.6,0.4025
joint_xlmr,English,0.2619,233,0.2876,0.2564,3,0.3333,0.2617
joint_xlmr,Yoruba,0.4585,72,0.4722,0.4577,63,0.5556,0.4536
joint_xlmr,Igbo,0.4298,74,0.3514,0.4344,28,0.6429,0.4252
joint_xlmr,Hausa,0.3918,83,0.3133,0.3971,20,0.35,0.3925
joint_afroxlmr,English,0.2498,233,0.2146,0.2573,3,0.0,0.2504
joint_afroxlmr,Yoruba,0.4192,72,0.4028,0.4201,63,0.5079,0.4148
joint_afroxlmr,Igbo,0.3686,74,0.3108,0.372,28,0.4286,0.3673
joint_afroxlmr,Hausa,0.3298,83,0.2651,0.3341,20,0.45,0.328
joint_naijaxlmt,English,0.2175,233,0.1931,0.2226,3,0.0,0.2179
joint_naijaxlmt,Yoruba,0.4169,72,0.375,0.4193,63,0.5397,0.4108
joint_naijaxlmt,Igbo,0.3958,74,0.3514,0.3984,28,0.6429,0.3904
joint_naijaxlmt,Hausa,0.3449,83,0.3253,0.3462,20,0.45,0.3433
joint_bertweet,English,0.219,233,0.206,0.2217,3,0.0,0.2195
joint_bertweet,Yoruba,0.469,72,0.4444,0.4704,63,0.4603,0.4695
joint_bertweet,Igbo,0.3927,74,0.3108,0.3976,28,0.4643,0.3912
joint_bertweet,Hausa,0.4107,83,0.2169,0.4237,20,0.35,0.4117
