model,language,neutral_to_hate_rate,hate_to_neutral_rate,n_true_neutral,n_true_hate
joint_mbert,English,0.2077,0.1195,443,410
joint_mbert,Yoruba,0.2557,0.2176,442,409
joint_mbert,Igbo,0.2421,0.1936,442,408
joint_mbert,Hausa,0.2585,0.1976,441,410
joint_xlmr,English,0.1964,0.1268,443,410
joint_xlmr,Yoruba,0.3077,0.1883,442,409
joint_xlmr,Igbo,0.2873,0.1667,442,408
joint_xlmr,Hausa,0.2404,0.1683,441,410
joint_afroxlmr,English,0.2077,0.0927,443,410
joint_afroxlmr,Yoruba,0.2692,0.2152,442,409
joint_afroxlmr,Igbo,0.1923,0.1618,442,408
joint_afroxlmr,Hausa,0.2132,0.1585,441,410
joint_naijaxlmt,English,0.1941,0.0854,443,410
joint_naijaxlmt,Yoruba,0.2919,0.2054,442,409
joint_naijaxlmt,Igbo,0.2104,0.1789,442,408
joint_naijaxlmt,Hausa,0.2608,0.1585,441,410
joint_bertweet,English,0.228,0.0732,443,410
joint_bertweet,Yoruba,0.2919,0.2494,442,409
joint_bertweet,Igbo,0.2127,0.1863,442,408
joint_bertweet,Hausa,0.2653,0.1927,441,410
