scenario,model,train_lang,test_lang,accuracy,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate
monolingual,svm,English,English,0.6381,0.637,0.6744,0.5747,0.6619
monolingual,svm,Yoruba,Yoruba,0.5332,0.5325,0.5616,0.4844,0.5516
monolingual,svm,Igbo,Igbo,0.5725,0.5709,0.6085,0.5352,0.569
monolingual,svm,Hausa,Hausa,0.5719,0.5712,0.5936,0.552,0.568
multilingual_joint,svm,all,all,0.5826,0.582,0.6138,0.54,0.5922
multilingual_joint,svm,all,English,0.6373,0.6369,0.6667,0.5842,0.6597
multilingual_joint,svm,all,Yoruba,0.5491,0.5485,0.5872,0.4891,0.5691
multilingual_joint,svm,all,Igbo,0.5733,0.5725,0.6082,0.5423,0.5671
multilingual_joint,svm,all,Hausa,0.5703,0.5698,0.5933,0.5442,0.5718
monolingual,nb,English,English,0.6155,0.6159,0.628,0.5939,0.6257
monolingual,nb,Yoruba,Yoruba,0.5415,0.5424,0.5543,0.5027,0.5701
monolingual,nb,Igbo,Igbo,0.577,0.5774,0.5989,0.5491,0.5843
monolingual,nb,Hausa,Hausa,0.5461,0.5463,0.5652,0.5311,0.5428
multilingual_joint,nb,all,all,0.5654,0.5657,0.5691,0.5444,0.5835
multilingual_joint,nb,all,English,0.6042,0.6041,0.5962,0.584,0.632
multilingual_joint,nb,all,Yoruba,0.5264,0.5261,0.5181,0.4946,0.5655
multilingual_joint,nb,all,Igbo,0.5672,0.5675,0.5707,0.5527,0.579
multilingual_joint,nb,all,Hausa,0.5635,0.5634,0.5876,0.547,0.5556
monolingual,rf,English,English,0.6727,0.6722,0.6907,0.6279,0.6979
monolingual,rf,Yoruba,Yoruba,0.5529,0.5529,0.5646,0.5017,0.5925
monolingual,rf,Igbo,Igbo,0.5823,0.5807,0.6151,0.5327,0.5943
monolingual,rf,Hausa,Hausa,0.5998,0.5983,0.6247,0.5558,0.6143
multilingual_joint,rf,all,all,0.6131,0.6122,0.635,0.5704,0.6312
multilingual_joint,rf,all,English,0.6659,0.6656,0.678,0.6188,0.7001
multilingual_joint,rf,all,Yoruba,0.5619,0.5616,0.5736,0.5158,0.5955
multilingual_joint,rf,all,Igbo,0.614,0.6121,0.6456,0.57,0.6205
multilingual_joint,rf,all,Hausa,0.6104,0.6088,0.6419,0.5769,0.6077
