language,label,token,count
English,Hate,the,1731
English,Hate,are,1097
English,Hate,and,1029
English,Hate,you,724
English,Hate,they,466
English,Hate,fulani,421
English,Hate,that,382
English,Hate,this,362
English,Hate,for,352
English,Hate,with,315
English,Hate,their,298
English,Hate,your,286
English,Hate,will,285
English,Hate,not,275
English,Hate,people,266
English,Hate,all,265
English,Hate,have,254
English,Hate,but,213
English,Hate,like,199
English,Hate,from,194
English,Neutral,the,1242
English,Neutral,you,970
English,Neutral,and,813
English,Neutral,are,678
English,Neutral,that,427
English,Neutral,this,418
English,Neutral,for,386
English,Neutral,your,338
English,Neutral,they,258
English,Neutral,not,250
English,Neutral,with,236
English,Neutral,have,223
English,Neutral,will,219
English,Neutral,like,219
English,Neutral,but,198
English,Neutral,all,194
English,Neutral,just,186
English,Neutral,what,175
English,Neutral,people,171
English,Neutral,their,151
English,Not Hate,the,1111
English,Not Hate,and,638
English,Not Hate,you,453
English,Not Hate,are,391
English,Not Hate,for,318
English,Not Hate,that,240
English,Not Hate,this,236
English,Not Hate,not,214
English,Not Hate,with,195
English,Not Hate,they,190
English,Not Hate,all,171
English,Not Hate,have,167
English,Not Hate,your,163
English,Not Hate,will,160
English,Not Hate,people,140
English,Not Hate,from,130
English,Not Hate,like,118
English,Not Hate,fulani,114
English,Not Hate,just,113
English,Not Hate,who,110
Yoruba,Hate,àwọn,3181
Yoruba,Hate,ẹyẹ,2558
Yoruba,Hate,wọ́n,1101
Yoruba,Hate,ẹ̀yin,825
Yoruba,Hate,jẹ́,715
Yoruba,Hate,wọn,707
Yoruba,Hate,máa,625
Yoruba,Hate,inu,547
Yoruba,Hate,ìsìn,540
Yoruba,Hate,ọmọ,476
Yoruba,Hate,ẹ̀yìn,441
Yoruba,Hate,kan,429
Yoruba,Hate,àti,416
Yoruba,Hate,láti,393
Yoruba,Hate,ẹ̀mí,386
Yoruba,Hate,ohun,381
Yoruba,Hate,awọn,377
Yoruba,Hate,fulani,377
Yoruba,Hate,fún,369
Yoruba,Hate,èèyàn,353
Yoruba,Neutral,àwọn,1852
Yoruba,Neutral,ẹ̀yin,1066
Yoruba,Neutral,ẹyẹ,883
Yoruba,Neutral,wọ́n,613
Yoruba,Neutral,máa,576
Yoruba,Neutral,jẹ́,538
Yoruba,Neutral,ọmọ,426
Yoruba,Neutral,fún,423
Yoruba,Neutral,kan,411
Yoruba,Neutral,ẹ̀mí,390
Yoruba,Neutral,ohun,382
Yoruba,Neutral,láti,348
Yoruba,Neutral,wọn,311
Yoruba,Neutral,"mi,",306
